# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.1545736215580837,4.8554954513618,-161.60587387563677,1.0,0.0,-1.1123480376845547,0.0,0.0,0.524521793117633
 0.001295813834757198,2.1533416229531057,4.855085760247949,-161.60587387563677,1.0038874415042716,2.999999999999974,-1.1123480376845547,0.0006796825961534818,-64.27592853495945,1.5880643056491042
 0.002579729386190782,2.152115636617988,4.8546800286258796,-161.68839873986568,1.0077391881585722,2.9999999999999276,-1.1347551820917972,0.0027186230548529424,-65.81960450473682,2.670802005299592
 0.0038519601027201355,2.1508955883922356,4.854278239614746,-161.7721364624664,1.0115558803081603,3.000000000000054,-1.1573923046785617,0.006116499403763277,-67.38415745923963,3.7725615112458426
 0.005112715072752627,2.1496814041153547,4.8538803763337,-161.8570913738846,1.015338145218258,3.0000000000000897,-1.1802538414265407,0.010872775078819761,-68.96931637350261,4.893158626640315
 0.006362199178346582,2.148473009626849,4.853486421901894,-161.94326743846696,1.0190865975350398,3.0000000000000213,-1.2033338445192812,0.01698669900895678,-70.57478264078789,6.032398165377086
 0.007600613242032225,2.1472703307662253,4.8530963594384815,-162.03066824183088,1.0228018397260967,2.999999999999977,-1.2266259648128288,0.024457305734711235,-72.20022877244348,7.190073785072069
 0.008828154167174335,2.1460732933729876,4.852710172062617,-162.11929697745367,1.026484462501523,2.9999999999999787,-1.2501234521077145,0.03328341556067863,-73.84529802880488,8.365967826797053
 0.010045015072199072,2.1448818232866413,4.85232784289345,-162.2091564336448,1.0301350452165974,3.0000000000001097,-1.2738191546054942,0.04346363474180273,-75.50960414628409,9.559851161897182
 0.0112513854190121,2.1436958463466915,4.851949355050136,-162.30024898098648,1.0337541562570365,3.0000000000000173,-1.2977054945441922,0.054996355703461564,-77.19272963568565,10.771483046338657
 0.012447451135908949,2.1425152883926444,4.851574691651827,-162.3925765584974,1.037342353407727,3.0000000000000333,-1.3217744825130764,0.06787975729532286,-78.89422636675684,12.000610983030782
 0.013633394735258165,2.141340075264003,4.851203835817676,-162.4861406612827,1.0409001842057746,2.9999999999998757,-1.3460176898241842,0.08211180507892812,-80.61361364047984,13.246970592649284
 0.014809395426213415,2.140170132800275,4.850836770666835,-162.5809423266243,1.0444281862786402,2.999999999999901,-1.370426269784504,0.09769025164894755,-82.35037915862314,14.51028549321562
 0.015975629222718748,2.139005386840964,4.85047347931846,-162.6769821219541,1.0479268876681562,3.000000000000021,-1.3949909234059457,0.11461263698807667,-84.1039766841985,15.790267189184322
 0.01713226904702355,2.1378457632255756,4.8501139448916994,-162.77426013076945,1.0513968071410706,3.000000000000009,-1.419701924896219,0.1328762888555007,-85.87382734917216,17.08661497029926
 0.01827948482893483,2.1366911877936148,4.84975815050571,-162.87277594075755,1.0548384544868044,2.999999999999891,-1.4445490925672786,0.15247832320886953,-87.65931760229813,18.399015820740175
 0.01941744360101523,2.1355415863845875,4.849406079279642,-162.97252863017766,1.0582523308030456,3.0000000000000306,-1.469521805451922,0.1734156446597269,-89.45980009514497,19.7271443391129
 0.020546309589916656,2.1343968848379977,4.849057714332649,-163.073516755879,1.0616389287697499,2.9999999999999876,-1.494608991097896,0.19568494696230074,-91.27459222498896,21.070662669781765
 0.021666244304032054,2.1332570089933514,4.848713038783885,-163.17573834022846,1.064998732912096,2.999999999999966,-1.5197991293307307,0.21928271353560477,-93.10297670241502,22.429220445875067
 0.022777406617643416,2.1321218846901537,4.848372035752502,-163.27919085922525,1.0683322198529301,3.0000000000000404,-1.5450802472811938,0.24420521801874256,-94.94420054128427,23.802454744610497
 0.023879952851726446,2.1309914377679093,4.848034688357652,-163.38387122998006,1.0716398585551792,2.999999999999953,-1.570439929576378,0.2704485248593446,-96.7974756457263,25.189990055521537
 0.024974036851559297,2.1298655940661244,4.847700979718491,-163.48977579930826,1.0749221105546778,3.0000000000000506,-1.5958653008701318,0.29800848993503937,-98.66197751247451,26.591438261570392
 0.026059810061297393,2.128744279424303,4.847370892954167,-163.59690033131108,1.078179430183892,2.999999999999984,-1.6213430594346134,0.3268807612078571,-100.5368468513695,28.00639863455321
 0.027137421595626272,2.1276274196819513,4.847044411183837,-163.70523999710318,1.0814122647868787,2.999999999999987,-1.6468594452805454,0.3570607794114642,-102.42118765204796,29.4344578440701
 0.028207018308650404,2.126514940678574,4.846721517526652,-163.81478936275983,1.084621054925951,2.999999999999883,-1.6724002700861542,0.38854377877112894,-104.31406857473307,30.875189981691424
 0.0292687448601178,2.125406768253676,4.846402195101766,-163.92554237905725,1.087806234580353,2.9999999999998397,-1.697950914896878,0.42132478775629084,-106.21452272605086,32.32815659995203
 0.030322743779109068,2.124302828246763,4.8460864270283315,-164.03749237119166,1.0909682313373268,3.0000000000000098,-1.72349633219646,0.45539862986562074,-108.12154762293852,33.79290676703418
 0.03136915552529624,2.1232030464973395,4.8457741964255,-164.15063202864025,1.0941074665758883,3.0000000000000067,-1.7490210623433033,0.49075992444445327,-110.03410588249797,35.26897713742369
 0.032408118547876154,2.122107348844912,4.845465486412427,-164.26495339587478,1.097224355643628,3.0000000000000266,-1.7745092335321289,0.5274030875344529,-111.95112507799986,36.755892038839534
 0.03343976934228122,2.121015661128984,4.845160280108262,-164.38044786299605,1.1003193080268434,3.0000000000001346,-1.7999445821426905,0.5653223327553885,-113.8714989104094,38.25316357635427
