# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,4.284837464859067,0.5563690447494211,-0.16081549055687808,0,4.0,-0.43332930482958376,0.0,0.0,0.0
 0.07796036938674894,4.29699305536848,0.5563349268370605,-0.16081549055687808,0.31184147754699576,4.0,-0.43332930482958376,0.0,-9.264139936795221,0.0
 0.11095248552670522,4.30945791197164,0.5562334451232983,-0.4664590712884333,0.44380994210682084,3.9999999999999982,-0.39435781605122944,0.0,-11.058501275383835,0.0
 0.13673561580130927,4.322229162280929,0.5560659076431129,-0.7515818503135298,0.546942463205237,3.999999999999998,-0.35950526038323405,0.0,-12.035488958611616,0.0
 0.1588554249957818,4.33530393390873,0.5558336224314829,-1.0178045696401996,0.635421699983127,3.999999999999995,-0.3282439157584408,0.0,-12.55261106367162,0.0
 0.17867397885108804,4.348679354467425,0.5555378975233872,-1.2665791680302885,0.714695915404352,4.0,-0.3001243993505867,0.0,-12.774833278268371,0.0
 0.19688405302360362,4.362352551569396,0.5551800409538044,-1.499209829569076,0.7875362120944143,4.0,-0.2747625404756383,0.0,-12.796331795855444,0.0
 0.2138937064103517,4.376320652827025,0.5547613607577131,-1.7168709980384007,0.8555748256414066,4.0,-0.25182868702888483,0.0,-12.676814791519378,0.0
 0.22996650180697192,4.390580785852694,0.5542831649700921,-1.9206228484633403,0.9198660072278875,4.0,-0.2310389535715665,0.0,-12.456557593558937,0.0
 0.24528387738984572,4.405130078258788,0.55374676162592,-2.1114246195935813,0.9811355095593827,4.0,-0.2121480267881914,0.0,-12.16384161629238,0.0
 0.2599767290792991,4.419965657657685,0.5531534587601754,-2.2901461404357657,1.0399069163171961,4.0,-0.19494322574199394,0.0,-11.819080781030891,0.0
 0.27414294803942285,4.4350846516617715,0.5525045644078372,-2.45757782668724,1.0965717921576912,4.0,-0.1792395778596347,0.0,-11.43729978327441,0.0
 0.2878578591329902,4.4504841878834265,0.5518013866038838,-2.614439376365326,1.1514314365319607,4.0,-0.16487572059696534,0.0,-11.029711442118755,0.0
 0.301180780615965,4.466161393935034,0.5510452333832941,-2.7613873558885422,1.2047231224638597,4.0,-0.15171047742221966,0.0,-10.604765691018317,0.0
 0.3141593305329345,4.482113397428976,0.5502374127810467,-2.899021836767189,1.2566373221317375,3.9999999999999827,-0.13961998635713804,0.0,-10.168871381864882,0.0
 0.3268323574354276,4.4983373259776345,0.5493792328321202,-3.027892217357555,1.30732942974171,4.0,-0.12849528348453876,0.0,-9.726906580977602,0.0
 0.3392319959766654,4.5148303071933915,0.5484720015714933,-3.148502343086065,1.3569279839066613,4.0,-0.11824026227684997,0.0,-9.28258730222273,0.0
 0.35138514619069017,4.53158946868863,0.5475170270341448,-3.2613150209447763,1.4055405847627604,4.000000000000019,-0.10876994491565165,0.0,-8.838738771509872,0.0
 0.3633145618410178,4.548611938075732,0.5465156172550534,-3.3667560095747837,1.453258247364071,4.0,-0.10000901236479065,0.0,-8.39749797653299,0.0
 0.3750396667196483,4.565894842967079,0.5454690802691975,-3.4652175540677206,1.5001586668785931,4.000000000000019,-0.09189055169806566,0.0,-7.960466810467923,0.0
 0.38657717734767233,4.583435310975054,0.544378724111556,-3.5570615244975268,1.5463087093906893,4.0,-0.08435498479605104,0.0,-7.528829089172384,0.0
 0.39794158516549,4.601230469712041,0.5432458568171075,-3.6426222086575306,1.59176634066196,4.0,-0.07734914917508624,0.0,-7.103440771667626,0.0
 0.40914553494355665,4.619277446790419,0.5420717864208306,-3.7222088023147655,1.6365821397742266,4.0,-0.07082550818473568,0.0,-6.684900055918768,0.0
 0.4202001253344904,4.637573369822572,0.5408578209577043,-3.796107634237278,1.6808005013379617,4.0,-0.06474146954038873,0.0,-6.273602198474642,0.0
 0.43111515018549285,4.656115366420882,0.539605268462707,-3.864584158138932,1.7244606007419714,4.0,-0.05905879624547208,0.0,-5.869782626157568,0.0
 0.44189929420031926,4.674900564197732,0.5383154369708173,-3.9278847393151413,1.767597176801277,4.0,-0.05374309624967608,0.0,-5.473551003450726,0.0
 0.45256029301350165,4.693926090765502,0.5369896345170142,-3.986238260066823,1.8102411720540066,4.0,-0.04876337885558451,0.0,-5.084918258417139,0.0
 0.46310506522697753,4.713189073736578,0.535629169136276,-4.039857564825976,1.8524202609079101,4.0,-0.04409166854975989,0.0,-4.703818093731651,0.0
 0.47353982214264795,4.7326866407233386,0.5342353488635817,-4.088940763209598,1.8941592885705918,4.0,-0.039702667638250394,0.0,-4.3301241522133225,0.0
 0.48387015959332047,4.752415919338168,0.5328094817339097,-4.133672406905269,1.9354806383732817,3.9999999999999787,-0.035573461359029585,0.0,-3.9636637401527963,0.0
 0.494101135286952,4.7723740371934475,0.5313528757822389,-4.174224554288501,1.9764045411478077,4.0,-0.03168326009868813,0.0,-3.6042288137225147,0.0
 0.5042373343381971,4.792558121901561,0.5298668390435479,-4.210757734970625,2.0169493373527883,4.000000000000022,-0.02801317118389046,0.0,-3.2515847785148244,0.0
 0.5142829250993967,4.81296530107489,0.5283526795528153,-4.24342182498093,2.0571317003975866,4.0,-0.02454599964472379,0.0,-2.9054775350014768,0.0
 0.5242417069729685,4.833592702325816,0.5268117053450198,-4.2723568419905735,2.096966827891874,4.0,-0.021266071814622083,0.0,-2.5656391168655137,0.0
